"gene","GSM1587845_Normal_tonsil_B_cells_1.CEL.gz","GSM1587846_Normal_tonsil_B_cells_3.CEL.gz","GSM1587847_Normal_tonsil_B_cells_4.CEL.gz","GSM1587848_Normal_tonsil_B_cells_5.CEL.gz","GSM1587849_Normal_tonsil_B_cells_6.CEL.gz","GSM1587850_Normal_tonsil_T_cells_1.CEL.gz","GSM1587851_Normal_tonsil_T_cells_3.CEL.gz","GSM1587852_Normal_tonsil_T_cells_4.CEL.gz","GSM1587853_Normal_tonsil_T_cells_5.CEL.gz","GSM1587854_Normal_tonsil_T_cells_6.CEL.gz"
"ABCA13",4.3204767417398,1.85261224117156,0.924666889973942,24.3214461159984,2.16535525617201,2.53207417626854,9.96826567007211,10.2906496525388,1.3269947325039,8.39057870397192
"C7orf60",697.450833109001,825.257299894909,1008.70862220242,1112.38720881775,1262.50738720139,1187.98894298765,1143.77813790906,1621.79846339362,1353.4461509236,1597.05022013755
"PRSS3P2",77.1806767989483,46.6319044190751,18.0571398552027,132.084256642903,89.1438197629146,22.4700321088553,88.6375209504793,106.831409346857,99.0009382685516,48.5611049226925
"CLEC2L",13.6167952963508,103.907440299607,96.3759455559127,6.04911200149972,67.4264954509477,13.395707421191,85.9087737064145,6.59689748375803,24.7227635441974,58.1161541175508
"C7orf55",1263.70422979004,819.937631328448,1479.05631780397,1655.72129573935,1344.90765214415,1360.70303054263,1201.00985791439,1515.91465113901,1187.35002952882,1549.42907967995
"AMOT",234.009899687615,396.71833566141,416.137292378151,266.786573440109,303.970386238313,336.541489663719,146.374309601202,254.645294361123,232.489179292562,244.42894887704
"CYP2A6",264.625084574107,274.510543998011,337.784421778851,266.864956521363,411.578495235745,282.620404284926,312.679669808486,395.175688553421,250.318564943581,336.436425766652
"VKORC1L1",195.609627208134,114.370298211364,186.573918818186,271.252969256891,164.303187716464,114.828010400213,185.473937221353,201.689970114455,250.732538849975,178.086529116859
"AMOTL1",65.2851808711286,14.2011160571538,60.057155772843,75.2710873542335,13.9909670398835,41.7003835215995,30.1286967227814,17.3621530409149,13.3303979187806,13.0390784981401
"LINC00689",54.7237430062899,46.4691444663855,59.3644383277672,6.74811577338924,49.0559079443457,20.2321536398346,47.6549325022378,30.8584442593686,37.0874706845398,4.93296192213684
"IQUB",4.58364478122266,23.2780961052452,2.41881965185069,18.2677232323017,6.46431879513579,12.930667267968,4.69688222631903,47.8129822936405,12.6521957246553,20.7463923836364
"C7orf77",37.2512335028983,1.2703879517522,19.0551085209361,2.48235912796776,4.84148857600217,66.5171234561772,33.3533479464037,49.2846439817028,33.0039835771362,28.0870676078247
"KCTD7",121.622235584188,189.73254941739,131.565346318963,162.04201989011,129.503054337748,103.800050599662,143.412250291035,114.919314550278,99.5408590071663,193.115708888871
"CYP2A7",73.4406708388389,5.04926025675528,12.3026588148128,6.95514151186336,2.04561824003953,3.30954284456625,80.6550204495792,25.2399571003649,3.82906062485061,11.4114140144439
"ADRB3",8.63383077400903,28.8260712415862,23.8301116091681,10.6322064090388,35.3703764677106,66.0582559050339,16.7011072514278,36.5862276709756,38.9616839989925,54.1357633998464
"TMEM213",19.0551085209361,53.4129839175598,66.1132185002271,68.9980493857449,48.6151465550862,68.8114196605582,5.48277759078762,41.7822537559773,35.8399638648429,25.6830649645735
"GIMAP8",19.9414018142218,19.9776063792176,6.85474516167479,14.1695443500211,73.1484111365157,485.37298621012,458.33598014231,454.465229752379,313.485471987028,500.455895330739
"CRYGN",10.1301549494202,2.80075908952102,10.421400989934,29.4839045001933,17.5435023038358,9.49608334197007,4.61196016384493,43.1700983127297,2.18719310108651,3.10068851051552
"ZNF425",7.63075126539112,103.93233890195,3.54485266070727,3.94662153012517,3.99396841686366,21.894504212578,4.60763612829356,10.7337928967844,6.46879112677481,3.30170342258678
"LOC155060",22.1249591727657,73.6088713004158,86.6203706585822,55.2376912447471,94.3794751283112,45.511698477096,19.3771919084409,25.6741044517699,75.1722927291297,16.6122105515626
"ZNF746",412.375895326819,520.424592666966,305.789155304277,357.104610404268,431.642720696855,744.869637698165,747.361121783816,448.671762147642,553.091663368849,559.58159927196
"ATP6V0E2",397.693526219512,277.455816329075,402.513694798886,363.916552252389,519.059231966477,1375.05255950403,1185.29771256726,1398.43254412495,1287.49587345311,1400.46234905954
"CYP3A7",11.9920971682201,6.01768876529871,8.32679161070758,11.1924697607082,38.2713648725904,37.0099953811059,33.1384875108728,51.8167575438874,66.1937802199967,30.3169879589154
"AMZ1",97.0578948299055,115.545205625602,153.210886224338,16.863344429188,20.9065862164915,107.102606131966,104.801341414981,22.276810330218,92.6137917803356,13.5685174749993
"CYP2A13",80.3693779111531,5.58612190552131,35.1852169585094,12.186472827336,12.4847798739455,4.50115329194201,19.0038141483124,23.7406035502046,41.4507435111868,51.2001654296891
"WBSCR27",9.38509122066799,6.96959848737391,19.9301644961083,47.9964754796937,13.313574797991,10.5318365631223,17.060940949595,15.5534843868623,95.356435051138,192.46975760858
"VPS37D",66.0186770861823,31.392108635139,7.44759813044926,96.2384123043042,69.9009230571231,55.4553561294676,104.508716567343,82.6648829572447,42.7090040723628,83.0895994249364
"NSUN5P1",652.56109200508,976.863004870984,157.332332170708,365.638345231636,322.511245820937,165.355814972085,276.011757918495,211.54455919934,226.226840708601,357.567941691035
"RBM33",282.274319499384,259.83638481035,182.957351667053,173.335582824334,259.24356566784,188.748267019122,222.271416598809,208.934322352257,120.72269072469,194.121383027169
"AGR3",1.22521063337752,18.0948945844381,1.50902518279814,0.442344677455875,39.3528976191675,0.924666889973942,11.7369118285474,1.65936253280529,7.39333394579235,1.50394070970671
"CYP2B6",10.1901928075746,38.0823829676513,32.3428878131257,17.5379076301721,40.3077037883261,17.2839571295729,17.9035128529249,7.85470477910349,10.3788900405232,7.75019522911996
"CYP2B7P",52.5420661055701,78.5136745632113,52.4409435271838,10.7684700137655,10.1673195254384,114.182234036132,92.3726571498954,7.83732477976048,34.6788477185309,55.8763202116091
"CYP2C19",3.27439981188109,65.8773610385047,5.6719113576527,2.37244751906088,3.51475943107708,2.70047372707682,4.22130787980627,31.5380881538555,3.63970354556818,3.39654091214122
"CYP2C8",55.4084770610587,88.6117055554281,58.3114221714612,9.60785798875151,36.2794819671758,9.15667835472055,4.75428960309897,3.92078055760389,1.30619972875121,27.0469139009866
"CYP2C9",35.7711369718411,21.2473487276441,63.6910997862548,50.5489189638458,14.9041523743015,39.5139864890469,46.0371524107495,23.2273517564577,36.6110240566666,10.4626591589051
"ADRBK1",312.094368431645,258.529370715341,197.248981334229,214.818078092148,223.580730462243,184.28914836363,141.666475269424,149.148958706112,223.782520884966,183.702995217842
"CYP2C18",15.8866106099111,8.50450879349351,16.6332970423817,18.000455097504,39.9355888460745,8.78976519726412,37.2624917200493,36.0881445410438,34.7436301724539,38.1988401293194
"ADRBK2",703.394142647475,1084.50592560031,855.797190486429,813.265722308471,983.510565097025,157.977155490595,185.336524356283,182.530176437512,162.562113696932,78.0937201376799
"CYP2E1",48.6436748605424,72.6370174488139,65.533162417192,24.0521109913426,50.657601984479,43.6238449692637,35.3612473149371,50.6892660628092,40.1585992643759,30.1373243761677
"MGC27345",242.015863729944,344.968797064466,249.177364704198,236.585288193687,418.885474289542,387.542322752878,447.303376606312,397.288278331428,375.427676199294,412.187409665848
"LOC157273",2.70653474024273,0.966070159696489,2.12071694380445,9.1925850536396,36.7329423298648,31.3818387422729,43.4358646053305,11.1245336904483,2.79817559543852,4.33172913077487
"SGK223",1327.81864131453,3069.62079444,2155.1972992732,2017.93141993089,5845.63722859671,2364.30031163636,2773.43513418926,2855.42892255036,2809.68071935904,5799.43147843509
"CYP2J2",10.9586758506316,39.8911856848206,34.6788477185309,9.73487698037044,74.8791007583683,11.6013550075068,9.27617633131679,75.8796943402498,6.33736330140326,98.4231015296629
"PEBP4",18.0225540594473,38.6874961781914,67.127050841458,63.0524677677165,36.6251657000889,39.8858398364885,22.0340692746426,82.3835177418615,26.8901667043961,46.5386619190042
"CDCA2",747.361121783816,206.022329112713,487.549055036407,911.464898551925,187.141149149687,82.5001831658767,133.974856934864,86.4675728682071,239.568377832413,70.6619789065643
"TMEM65",301.298415949971,332.192904250944,256.700439911191,256.234527394275,409.776396553089,745.693150879208,675.1760851678,404.645746196881,460.97680418429,493.475732277684
"LINC00964",15.0251684540397,38.2606138394524,4.5243981843108,1.63139868095532,10.921644053221,31.5664321098158,0.864085224056333,11.3822808562573,31.7111031977054,5.43263583210747
"RDH10",58.708718581313,57.1882253818697,57.1354471975996,67.5433973256133,46.4776167404417,644.428045391517,492.251762684864,334.183574433841,1194.59365650679,303.628551693339
"BAALC-AS2",4.06156867351921,8.00149052594926,9.70823403213044,44.7152288915372,6.83678729252207,3.40167887509882,3.37339910565674,35.1139134842814,10.7261671709382,9.69903667196647
"ANKRD46",340.108997667923,229.568098384607,546.10373912548,743.995463849691,481.778672943257,653.93368731767,649.025612534705,675.559289208801,770.022998704908,751.459847543285
"ESCO2",348.96795147716,134.129880461273,338.096902867021,390.663013859641,76.4443829873783,78.3362883138078,70.5512814394116,46.06493952057,108.358125900719,26.3407749204806
"FBXO16",158.512816756119,85.8549772181254,139.131820670542,141.458690322603,51.0303810578368,73.4406708388389,30.7875250959134,29.5563044260518,4.77074284278241,74.0106096702327
"CYP3A4",30.1168145155399,46.5843790427742,18.389920228413,54.6432681394136,27.8583792815186,9.64152707880095,58.8837224948264,45.3358238830083,25.7071329785513,32.5655397132792
"LINC00599",41.1091367815491,58.6014362999962,18.9075738107316,136.043156729332,72.8387354978418,24.6626409349552,19.6985838024664,82.062403895533,14.9237524260818,25.9611022077051
"FAM84B",129.22396368798,305.94978661075,268.121442041202,123.335553064051,355.902070214423,317.637632375204,299.218562871332,313.236404395825,258.873349713051,469.307424716925
"C8orf37",352.888814735434,585.474527807756,201.069466094738,209.428544927958,383.635206756207,168.026334082278,157.977155490595,23.8301116091681,124.950406904754,173.192483909309
"VPS13B",304.693364024508,466.605520842125,298.022217746264,236.742881662847,331.492411871837,331.411226747251,330.327785583924,289.594469851779,236.366440117542,302.716803779158
"TDRP",10.0778004254992,4.25710219202269,7.50828550412306,32.1667005572618,7.9289233539135,29.934005240345,22.8294244793256,7.31591387251808,18.586211254982,27.6579128446516
"ERICH1",1154.32829872599,1487.18420563411,1031.91170153493,764.638181600777,1058.83858303758,1492.61183449389,1108.58386441853,1455.73773087067,867.563665240853,1797.64308296985
"CYP3A5",23.8997271333609,13.6560657361682,26.7820400187797,5.12962794233312,29.8935967987311,21.6285156255705,17.1954265539929,31.0094736909982,21.4471428834824,15.7433774268013
